"Cell_ID","Latitude","Longitude","Avg_Temperature","Percent_of_Max"
357,5,145,28.4,91.54
289,-5,-175,28.3,91.34
359,5,165,28.2,90.93
378,15,-5,28.2,91.13
290,-5,-165,28.1,90.64
291,-5,-155,28.1,90.7
358,5,155,28.1,90.74
392,15,135,28.1,90.82
314,-5,75,28,90.38
350,5,75,28,90.23
379,15,5,28,90.3
395,15,165,27.9,90.12
377,15,-15,27.8,89.87
324,-5,175,27.7,89.41
325,5,-175,27.7,89.52
380,15,15,27.6,89.14
396,15,175,27.4,88.4
311,-5,45,27.2,87.82
283,-15,125,27.1,87.52
326,5,-165,27.1,87.34
338,5,-45,27.1,87.36
356,5,135,27.1,87.36
360,5,175,27.1,87.48
280,-15,95,26.9,86.86
312,-5,55,26.9,86.86
351,5,85,26.8,86.33
282,-15,115,26.7,86.21
393,15,145,26.7,86.07
254,-15,-165,26.6,85.94
284,-15,135,26.6,85.87
362,15,-165,26.6,85.89
373,15,-55,26.6,85.68
383,15,45,26.6,85.76
384,15,55,26.6,85.88
327,5,-155,26.5,85.38
387,15,85,26.5,85.64
343,5,5,26.4,85.05
382,15,35,26.4,85.28
353,5,105,26.3,84.96
386,15,75,26.3,85.02
414,25,-5,26.3,84.77
318,-5,115,26.2,84.52
391,15,125,26.2,84.43
300,-5,-65,26.1,84.24
336,5,-65,26.1,84.23
341,5,-15,26.1,84.15
342,5,-5,26.1,84.13
381,15,25,26.1,84.19
255,-15,-155,26,83.95
286,-15,155,26,83.75
301,-5,-55,26,83.76
323,-5,165,26,83.86
337,5,-55,26,83.86
355,5,125,26,83.91
390,15,115,26,83.76
422,25,75,26,83.85
256,-15,-145,25.9,83.72
257,-15,-135,25.9,83.56
302,-5,-45,25.9,83.59
316,-5,95,25.9,83.44
322,-5,155,25.9,83.49
347,5,45,25.9,83.7
348,5,55,25.9,83.45
419,25,45,25.9,83.69
293,-5,-135,25.8,83.21
388,15,95,25.8,83.22
319,-5,125,25.7,82.8
354,5,115,25.7,82.8
292,-5,-145,25.6,82.47
307,-5,5,25.6,82.48
430,25,155,25.6,82.45
253,-15,-175,25.5,82.45
317,-5,105,25.5,82.31
372,15,-65,25.5,82.44
389,15,105,25.5,82.25
371,15,-75,25.4,81.83
407,25,-75,25.4,82.13
285,-15,145,25.3,81.67
420,25,55,25.3,81.78
320,-5,135,25.2,81.24
352,5,95,25.2,81.2
287,-15,165,25.1,81.13
288,-15,175,25,80.75
345,5,25,25,80.73
370,15,-85,24.9,80.26
303,-5,-35,24.8,79.88
344,5,15,24.8,79.89
265,-15,-55,24.7,79.56
415,25,5,24.7,79.85
221,-25,-135,24.6,79.43
276,-15,55,24.6,79.32
334,5,-85,24.4,78.81
232,-25,-25,24.2,77.94
321,-5,145,24.2,78.01
367,15,-115,24.2,78.14
217,-25,-175,24.1,77.93
308,-5,15,24.1,77.84
421,25,65,24.1,77.9
252,-25,175,24,77.57
277,-15,65,24,77.29
333,5,-95,24,77.46
429,25,145,24,77.39
219,-25,-155,23.9,77.04
335,5,-75,23.9,77.02
413,25,-15,23.8,76.66
418,25,35,23.8,76.68
267,-15,-35,23.7,76.55
398,25,-165,23.7,76.57
406,25,-85,23.7,76.55
275,-15,45,23.6,76.31
281,-15,105,23.6,76.1
297,-5,-95,23.6,76.08
298,-5,-85,23.6,76.12
299,-5,-75,23.6,76.12
346,5,35,23.6,76.12
428,25,135,23.4,75.4
220,-25,-145,23.3,75.31
309,-5,25,23.3,75.31
246,-25,115,23.2,75.01
247,-25,125,23.2,74.83
222,-25,-125,23.1,74.49
397,25,-175,23,74.3
266,-15,-45,22.9,73.94
376,15,-25,22.8,73.51
239,-25,45,22.7,73.33
274,-15,35,22.7,73.28
369,15,-95,22.7,73.41
417,25,25,22.7,73.25
251,-25,165,22.6,72.95
368,15,-105,22.6,72.9
416,25,15,22.6,73.06
248,-25,135,22.5,72.6
249,-25,145,22.3,72.04
399,25,-155,22.3,71.93
444,35,-65,22.3,71.89
310,-5,35,22.2,71.8
181,-35,-175,21.7,69.97
238,-25,35,21.7,70.17
264,-15,-65,21.7,69.96
405,25,-95,21.7,70.18
240,-25,55,21.6,69.84
272,-15,15,21.3,68.65
403,25,-115,21.3,68.7
273,-15,25,21.2,68.56
229,-25,-55,21.1,68.21
224,-25,-105,20.6,66.6
423,25,85,20.4,65.9
305,-5,-15,20,64.65
230,-25,-45,19.9,64.37
237,-25,25,19.6,63.35
202,-35,35,19.5,63.06
236,-25,15,19.5,62.77
451,35,5,19.5,62.86
250,-25,155,19.4,62.7
427,25,125,19,61.3
452,35,15,19,61.32
363,15,-155,18.8,60.74
404,25,-105,18.7,60.38
426,25,115,18.3,59.13
211,-35,125,17.8,57.48
212,-35,135,17.8,57.39
193,-35,-55,17.3,55.94
424,25,95,17.2,55.48
200,-35,15,17.1,55.3
210,-35,115,17.1,55.02
449,35,-15,17.1,55.33
448,35,-25,17,54.87
455,35,45,17,54.84
425,25,105,16.8,54.16
453,35,25,16.8,54.33
450,35,-5,16.7,53.84
226,-25,-85,16.4,52.79
456,35,55,16.4,53.01
213,-35,145,16.3,52.48
201,-35,25,16.1,51.81
228,-25,-65,16.1,51.93
447,35,-35,16.1,51.91
214,-35,155,15.8,51.07
441,35,-95,15.7,50.63
454,35,35,15.4,49.6
192,-35,-65,15.2,49.1
442,35,-85,15,48.41
263,-15,-75,14.7,47.47
439,35,-115,14.4,46.5
190,-35,-85,14,45.04
443,35,-75,14,45.28
438,35,-125,13.9,44.93
457,35,65,13.9,44.76
227,-25,-75,13.8,44.46
197,-35,-15,13.4,43.36
464,35,135,13.4,43.09
206,-35,75,13,41.87
216,-35,175,13,41.98
462,35,115,12.9,41.71
440,35,-105,12.2,39.51
463,35,125,12.2,39.3
486,45,-5,11.9,38.32
145,-45,-175,11.5,37.1
156,-45,-65,11.2,36.04
161,-45,-15,11.2,36.09
177,-45,145,10.8,34.83
465,35,145,10.7,34.38
162,-45,-5,10.5,33.75
487,45,5,10.3,33.1
492,45,55,10.2,33.02
521,54.9,-15,10.1,32.58
180,-45,175,10,32.14
191,-35,-75,9.9,31.84
488,45,15,9.9,31.84
493,45,65,9.6,30.93
489,45,25,9.5,30.58
490,45,35,9.3,30.1
491,45,45,9,29.05
522,54.9,-5,8.8,28.49
179,-45,165,8.6,27.78
474,45,-125,8.3,26.7
523,54.9,5,8.3,26.76
524,54.9,15,7.6,24.43
461,35,105,7.4,23.79
458,35,75,7.3,23.53
143,-54.9,165,7.2,23.14
155,-45,-75,7.2,23.18
558,64.8,-5,7.1,22.9
121,-54.9,-55,6.5,20.96
476,45,-105,6.4,20.63
477,45,-95,6.3,20.33
525,54.9,25,6.3,20.42
475,45,-115,6,19.51
478,45,-85,5.9,19.01
120,-54.9,-65,5.6,18.06
119,-54.9,-75,5.4,17.55
166,-45,35,5.1,16.59
526,54.9,35,5,16.02
168,-45,55,4.9,15.84
494,45,75,4.9,15.9
479,45,-75,4.8,15.36
142,-54.9,155,4.4,14.21
170,-45,75,4.4,14.16
501,45,145,4.4,14.22
495,45,85,4.2,13.51
527,54.9,45,4.2,13.57
480,45,-65,4.1,13.08
505,54.9,-175,4.1,13.18
481,45,-55,3.8,12.37
169,-45,65,3.5,11.31
508,54.9,-145,3.5,11.42
499,45,125,3.4,11.03
540,54.9,175,3,9.8
497,45,105,2.8,9.06
528,54.9,55,2.8,9.09
559,64.8,5,2.6,8.27
122,-54.9,-45,2.5,7.93
496,45,95,2.4,7.8
506,54.9,-165,2.3,7.46
498,45,115,2.2,7.15
509,54.9,-135,2.2,7.11
507,54.9,-155,2.1,6.68
529,54.9,65,1.9,6.2
502,45,155,1.8,5.79
560,64.8,15,1.6,5.22
134,-54.9,75,1.2,3.82
500,45,135,1.2,3.84
530,54.9,75,1.2,4
510,54.9,-125,1.1,3.5
518,54.9,-45,1.1,3.63
557,64.8,-15,1.1,3.5
561,64.8,25,1.1,3.71
562,64.8,35,0.9,2.89
511,54.9,-115,0.7,2.4
123,-54.9,-35,0.3,0.94
93,-64.8,25,0,0
531,54.9,85,0,-0.1
563,64.8,45,0,0
124,-54.9,-25,-0.1,-0.21
459,35,85,-0.3,-0.88
517,54.9,-55,-0.3,-1.09
512,54.9,-105,-0.8,-2.48
127,-54.9,5,-0.9,-2.95
594,74.5,-5,-1.3,-4.34
598,74.5,35,-1.4,-4.65
460,35,95,-1.7,-5.49
514,54.9,-85,-2.1,-6.85
564,64.8,55,-2.1,-6.78
538,54.9,155,-2.2,-7.02
513,54.9,-95,-2.4,-7.66
539,54.9,165,-2.4,-7.6
532,54.9,95,-2.8,-9.09
515,54.9,-75,-3.4,-10.81
533,54.9,105,-3.4,-10.91
537,54.9,145,-3.8,-12.12
516,54.9,-65,-3.9,-12.48
542,64.8,-165,-3.9,-12.71
565,64.8,65,-4.1,-13.13
556,64.8,-25,-4.3,-13.8
597,74.5,25,-4.3,-13.75
543,64.8,-155,-4.6,-14.82
86,-64.8,-45,-5,-16.26
553,64.8,-55,-5.2,-16.68
534,54.9,115,-5.6,-18.08
535,54.9,125,-5.7,-18.38
566,64.8,75,-5.8,-18.64
544,64.8,-145,-6.1,-19.64
536,54.9,135,-6.3,-20.44
85,-64.8,-55,-6.5,-20.93
545,64.8,-135,-6.6,-21.26
567,64.8,85,-6.6,-21.37
546,64.8,-125,-6.8,-21.91
596,74.5,15,-7.4,-23.73
632,83.4,15,-7.4,-24.04
541,64.8,-175,-7.7,-24.96
547,64.8,-115,-7.7,-24.89
639,83.4,85,-7.9,-25.47
581,74.5,-135,-8.3,-26.76
633,83.4,25,-8.3,-26.78
600,74.5,55,-8.4,-27.27
83,-64.8,-75,-8.9,-28.56
84,-64.8,-65,-9.4,-30.41
576,64.8,175,-9.6,-30.89
634,83.4,35,-9.6,-31.1
551,64.8,-75,-9.7,-31.3
568,64.8,95,-9.7,-31.44
107,-64.8,165,-9.9,-32.01
578,74.5,-165,-10.2,-33.04
620,83.4,-105,-10.2,-32.8
552,64.8,-65,-10.3,-33.26
548,64.8,-105,-10.4,-33.59
569,64.8,105,-10.4,-33.68
636,83.4,55,-10.4,-33.52
575,64.8,165,-10.5,-33.85
570,64.8,115,-10.7,-34.37
580,74.5,-145,-10.8,-34.9
602,74.5,75,-10.9,-35.11
637,83.4,65,-10.9,-35.14
579,74.5,-155,-11,-35.44
593,74.5,-15,-11.1,-35.93
601,74.5,65,-11.1,-35.78
92,-64.8,15,-11.3,-36.61
571,64.8,125,-11.3,-36.49
611,74.5,165,-11.5,-37.11
629,83.4,-15,-11.5,-37.25
635,83.4,45,-11.6,-37.36
574,64.8,155,-11.8,-38.14
577,74.5,-175,-11.9,-38.44
599,74.5,45,-12.1,-39.04
603,74.5,85,-12.1,-38.99
612,74.5,175,-12.1,-39.01
549,64.8,-95,-12.2,-39.26
550,64.8,-85,-12.3,-39.71
554,64.8,-45,-12.5,-40.19
638,83.4,75,-13.4,-43.14
572,64.8,135,-13.5,-43.66
573,64.8,145,-13.5,-43.45
582,74.5,-125,-14.1,-45.63
604,74.5,95,-14.2,-45.77
607,74.5,125,-14.2,-45.69
628,83.4,-25,-14.5,-46.71
608,74.5,135,-14.6,-47.12
609,74.5,145,-14.7,-47.39
610,74.5,155,-14.8,-47.79
605,74.5,105,-14.9,-47.93
47,-74.5,-75,-15,-48.51
606,74.5,115,-15,-48.46
640,83.4,95,-15.1,-48.67
555,64.8,-35,-15.4,-49.77
583,74.5,-115,-15.9,-51.46
587,74.5,-75,-15.9,-51.19
592,74.5,-25,-15.9,-51.32
38,-74.5,-165,-16.1,-52.02
94,-64.8,35,-16.1,-51.83
586,74.5,-85,-16.5,-53.32
624,83.4,-65,-16.5,-53.09
48,-74.5,-65,-16.7,-53.96
584,74.5,-105,-16.8,-54.23
585,74.5,-95,-17.3,-55.89
588,74.5,-65,-17.3,-55.97
39,-74.5,-155,-17.5,-56.53
49,-74.5,-55,-17.5,-56.32
51,-74.5,-35,-17.6,-56.82
106,-64.8,155,-17.7,-57.26
72,-74.5,175,-18,-58.24
589,74.5,-55,-18,-58.1
621,83.4,-95,-18,-58.22
625,83.4,-55,-19.2,-62
626,83.4,-45,-19.3,-62.24
627,83.4,-35,-19.8,-63.97
622,83.4,-85,-19.9,-64.25
623,83.4,-75,-20.1,-64.93
40,-74.5,-145,-20.6,-66.63
105,-64.8,145,-20.8,-67.18
44,-74.5,-105,-20.9,-67.33
103,-64.8,125,-21.1,-68.14
98,-64.8,75,-21.2,-68.31
102,-64.8,115,-21.4,-68.9
50,-74.5,-45,-21.5,-69.54
43,-74.5,-115,-22,-71
71,-74.5,165,-22.2,-71.51
45,-74.5,-95,-22.3,-71.85
52,-74.5,-25,-22.7,-73.16
95,-64.8,45,-23,-74.08
104,-64.8,135,-23.3,-75.26
46,-74.5,-85,-23.5,-75.68
97,-64.8,65,-23.6,-76.15
590,74.5,-45,-23.6,-76.02
41,-74.5,-135,-23.7,-76.63
53,-74.5,-15,-24,-77.5
591,74.5,-35,-24.7,-79.66
42,-74.5,-125,-24.9,-80.33
101,-64.8,105,-26.7,-86.03
54,-74.5,-5,-27.2,-87.63
96,-64.8,55,-27.5,-88.63
7,-83.4,-115,-29.5,-95.29
70,-74.5,155,-30.1,-97.04
55,-74.5,5,-30.2,-97.4
11,-83.4,-75,-31,-99.91
6,-83.4,-125,-31.1,-100.4
4,-83.4,-145,-31.6,-101.83
12,-83.4,-65,-31.6,-101.99
5,-83.4,-135,-31.8,-102.54
3,-83.4,-155,-32.8,-105.87
8,-83.4,-105,-33,-106.61
69,-74.5,145,-33.4,-107.67
99,-64.8,85,-33.4,-107.63
10,-83.4,-85,-34.1,-109.94
56,-74.5,15,-34.5,-111.24
68,-74.5,135,-35,-112.87
9,-83.4,-95,-35.2,-113.63
14,-83.4,-45,-35.5,-114.54
2,-83.4,-165,-35.6,-114.83
13,-83.4,-55,-35.6,-115.01
15,-83.4,-35,-35.7,-115.08
67,-74.5,125,-35.9,-115.7
62,-74.5,75,-36.1,-116.61
16,-83.4,-25,-36.3,-117.12
61,-74.5,65,-36.7,-118.34
17,-83.4,-15,-38,-122.54
57,-74.5,25,-38.4,-123.81
100,-64.8,95,-38.7,-124.85
18,-83.4,-5,-39.6,-127.87
34,-83.4,155,-39.6,-127.88
35,-83.4,165,-40.2,-129.88
1,-83.4,-175,-40.3,-130.08
66,-74.5,115,-40.3,-129.92
19,-83.4,5,-41.6,-134.37
33,-83.4,145,-41.6,-134.39
58,-74.5,35,-42,-135.44
36,-83.4,175,-42.1,-135.85
32,-83.4,135,-42.3,-136.45
31,-83.4,125,-43.3,-139.81
20,-83.4,15,-43.7,-140.91
65,-74.5,105,-44.3,-142.9
60,-74.5,55,-44.7,-144.33
59,-74.5,45,-45.7,-147.48
63,-74.5,85,-46.3,-149.5
30,-83.4,115,-46.4,-149.65
21,-83.4,25,-46.7,-150.62
29,-83.4,105,-49.2,-158.75
27,-83.4,85,-50.2,-161.95
64,-74.5,95,-50.3,-162.3
26,-83.4,75,-50.4,-162.64
28,-83.4,95,-50.4,-162.66
22,-83.4,35,-50.7,-163.65
25,-83.4,65,-52.1,-168.22
23,-83.4,45,-53.6,-173.04
24,-83.4,55,-53.6,-173.06
